design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,300,ppi_soft,2,0.1908141589406603,-2.3280706080356707e-05,0.011726824201051797,0.938,0.045096041638477316,500
srs,300,ppi_soft,3,0.020577316312957852,-0.0002847745857750255,0.004497916218948745,0.958,0.01732845715317808,500
srs,300,ppi_soft,4,0.20052212582636836,0.00031257491874302885,0.012560561391987034,0.942,0.04965735559363268,500
srs,300,ppi_soft,5,0.011832205038613488,-0.0002411029821600788,0.006415649637742896,0.952,0.02437883754905948,500
srs,300,ppi_soft,6,0.1948343292767664,0.00016775016096563783,0.014616308454568655,0.954,0.05859126159143071,500
srs,300,ppi_soft,7,0.016596851362887376,0.00023562936187251123,0.008740154342353422,0.94,0.0340726593671514,500
srs,300,ppi_soft,8,0.3328800301760934,-0.00014069204208225084,0.0053622800098806255,0.944,0.020380807173350127,500
srs,300,ppi_soft,10,0.0074149808421512375,0.00022721853384631766,0.00411215577386013,0.926,0.015138927272046966,500
srs,300,ppi_soft,12,0.016596851362887376,-5.5533608386990477e-05,0.004345943159780973,0.878,0.01547717641024672,500
srs,300,ppi_soft,13,0.007931150860614243,-0.00019781752728090867,0.0052208150275486025,0.898,0.018089784636462446,500
srs,300,ppipp_soft,2,0.1908141589406603,-0.0005935803286827118,0.011959606412942886,0.934,0.045273775056993155,500
srs,300,ppipp_soft,3,0.020577316312957852,-0.0016193598105709321,0.0056824988360855205,0.878,0.017483866898942935,500
srs,300,ppipp_soft,4,0.20052212582636836,0.00020163421594224007,0.012619917818607001,0.942,0.04971200638272035,500
srs,300,ppipp_soft,5,0.011832205038613488,-0.0010985357887318922,0.00554819741652364,0.838,0.019691795425274848,500
srs,300,ppipp_soft,6,0.1948343292767664,4.5708784355691254e-05,0.014690595256224319,0.95,0.05863065172945442,500
srs,300,ppipp_soft,7,0.016596851362887376,-0.0010565118364174392,0.006429469442221416,0.884,0.024016420779708895,500
srs,300,ppipp_soft,8,0.3328800301760934,-0.0005610930261160257,0.005521560946625,0.938,0.02059204310276047,500
srs,300,ppipp_soft,10,0.0074149808421512375,-0.0009085249219917772,0.0040336946577143006,0.878,0.012859495326442679,500
srs,300,ppipp_soft,12,0.016596851362887376,-0.0012218237713513208,0.005359940710367035,0.836,0.015980823469332252,500
srs,300,ppipp_soft,13,0.007931150860614243,0.00012572117730045006,0.004447332247397604,0.842,0.019511020512474123,500
srs,300,stratppi,2,0.1908141589406603,-0.000759025884996046,0.011586544685071514,0.946,0.04434436062927155,500
srs,300,stratppi,3,0.020577316312957852,-0.0003942724075242393,0.005234096391339868,0.784,0.015942368584563132,500
srs,300,stratppi,4,0.20052212582636836,-0.00047163431001583523,0.012297714134314325,0.93,0.046418526174779685,500
srs,300,stratppi,5,0.011832205038613488,-0.0006752435852569302,0.0057699378527881,0.844,0.01941300648011417,500
srs,300,stratppi,6,0.1948343292767664,-5.68161744731846e-05,0.014488640287054318,0.942,0.05657214263288575,500
srs,300,stratppi,7,0.016596851362887376,-0.0005808032189260387,0.006396592936334471,0.91,0.023795624593047644,500
srs,300,stratppi,8,0.3328800301760934,-0.0004941039395186366,0.0052769893869786914,0.804,0.016809081404772382,500
srs,300,stratppi,10,0.0074149808421512375,0.0007331299047102434,0.004224374738220028,0.774,0.011221162199951463,500
srs,300,stratppi,12,0.016596851362887376,-3.704287547416222e-05,0.004357138768202557,0.74,0.013056416659334548,500
srs,300,stratppi,13,0.007931150860614243,-0.0004621246133660336,0.005279879757941438,0.828,0.017042309648789063,500
srs,300,xppi_aef,2,0.1908141589406603,-0.0012625394645442275,0.015101595186943123,0.92,0.05669895502654541,100
srs,300,xppi_aef,3,0.020577316312957852,0.0007299608250528269,0.007304453024976125,0.9,0.02640428223600354,100
srs,300,xppi_aef,4,0.20052212582636836,0.0011855641390330737,0.011962243129902015,0.97,0.0531025009597193,100
srs,300,xppi_aef,5,0.011832205038613488,-0.00034007317651379147,0.006716113505290133,0.84,0.02327745865510751,100
srs,300,xppi_aef,6,0.1948343292767664,-0.00037885858575873956,0.01591089736726275,0.99,0.06932661839486229,100
srs,300,xppi_aef,7,0.016596851362887376,-0.0009634525807424305,0.008207214561394538,0.8,0.02703358232700328,100
